Date,Strain Score,Skin Temperature,Avg Heart Rate,Heart Rate Variability,Max Heart Rate,Resting Heart Rate,Blood Oxygenation,Total Calories Burned,Recovery Score,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,Nap Count,Nap Sleep,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Score,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Sleep Consistency,Sleep Cycles,Sleep Disturbances,Sleep Disturbances / Hour,Sleep Disturbances Duration,Sleep Onset Latency,Sleep Respiratory Rate,Time Asleep Percent,Time Awake Percent
4/10/19,,,,,,,,,,0,0,2.508261111,64.32081038,,,1.391349444,35.67918962,21.98333333,47,17.95,0.124996389,4.024605556,3.899610556,,4,5,1.242357774,5.916483333,1.4833,16.289062,96.89419636,3.105803638
4/11/19,10.87524798,,70,48.079006,161,65,,2228.728489,47,0.216660556,2.121929162,7.3939575,72.41490729,,,2.599928056,25.46316355,20.95,100,10.41666667,0.319434722,10.52997611,10.21054611,,10,10,0.949669771,13.99958333,0.483316667,15.996094,96.96642637,3.033573634
4/12/19,,,,36.994576,,63,,,42,0.058331667,1.168678391,3.982945833,79.79855527,,,0.949973056,19.03276634,19.05,63,13.91666667,0.141662222,5.132910556,4.991250556,,5,4,0.779284961,7.933083333,0.483316667,16.40625,97.24012021,2.759879787
4/13/19,9.0066214,,71,,164,,,2259.560229,,,,,,1,3.508032778,,,,,,,,,,,,,,,,,
4/14/19,5.197121259,,66,50.49753,155,68,,1563.33652,39,0,0,4.594041111,60.43155131,1,2.241326944,3.008016111,39.56844869,6.05,100,-1.783333333,0.233327222,7.835382222,7.602057222,8,6,6,0.765757155,6.899816667,0.483316667,16.230469,97.02213435,2.977865654
4/15/19,8.880031176,,69,,165,,,2883.604207,,,,,,1,2.991304167,,,,,,,,,,,,,,,,,
4/16/19,5.484164115,,66,46.461362,164,64,,1924.952199,55,0.633317222,9.681964843,3.141576111,48.02747879,,,2.766312222,42.29055636,5.4,80,-1.45,0.3166575,6.857859722,6.541205556,26,6,5,0.729090445,6.916466667,0.483316667,16.875,95.38256309,4.617436911
4/17/19,4.500944761,,63,,164,,,2226.338432,,0.733314167,7.272937101,6.2162175,61.65182802,,,3.133247222,31.07523488,21.16666667,100,10.53333333,0.549985278,10.63274889,10.08277889,32,10,15,1.410735846,21.74938333,0.483316667,16.757812,94.82744779,5.172552209
4/18/19,,,,56.401514,,61,,,68,,,,,,,,,,,,,,,,,,,,,,,
4/24/19,12.15471057,,78,35.299685,158,68,,3075.047801,41,0.074997778,1.40194052,3.3662925,62.92642258,,,1.908278889,35.6716369,15.91666667,69,10.41666667,0.149995833,5.499561667,5.349569167,,5,3,0.54549802,2.949916667,0.483333333,15.8203125,97.27258732,2.727412683
4/25/19,13.3797826,,76,25.461918,172,73,,2923.040153,26,0.366656667,5.500122485,4.574872778,68.62649154,,,1.724806944,25.87338598,14.4,72,7.25,0.324991111,7.149645,6.666336389,,6,13,1.818272096,18.7828,0.483316667,16.347656,95.3515107,4.648489305
4/26/19,4.67160754,,71,59.017938,138,70,,1398.900574,63,0,0,0.308324722,49.35529513,1,3.5162925,0.316379722,50.64470487,10.7,7,9.566666667,0.508319444,1.133022778,0.624704444,,1,3,2.647784368,4.94985,0.483316667,17.578125,55.13603469,44.86396531
4/27/19,5.092162898,,65,65.44062,157,61,,1939.770554,98,0.549985833,6.011118123,5.741231944,62.74929516,,,2.858258611,31.23958672,13.46666667,100,3.233333333,1.09164,10.24110222,9.149476389,22,10,5,0.488228698,8.41645,2.483266667,15.9375,89.34061524,10.65938476
4/28/19,7.830199477,,68,108.57988,162,60,,2166.347992,96,0.099996944,1.534590121,3.874608611,59.46117786,,,2.541593333,39.00423202,10.63333333,84,3.633333333,0.491653333,7.007845833,6.516198889,36,7,8,1.141577625,14.36626667,0.483316667,15.849609,92.98425084,7.015749159
4/29/19,4.934405523,,68,63.764244,159,64,,938.2976,67,0.666648333,10.84016576,3.332961389,54.1962713,,,2.150188611,34.96356294,17.28333333,71,10.83333333,0.308324167,6.458119167,6.149798333,16,6,5,0.774219222,8.916383333,0.483316667,17.167969,95.22579253,4.774207468
4/30/19,6.071968172,,63,97.30458,160,57,,2083.519434,93,0.474986111,5.632592941,5.016245556,59.4848326,1,2.616315,2.941582778,34.88257446,13.3,95,4.516666667,0.349989722,8.782798889,8.432814444,37,8,6,0.683153523,8.39975,1.983266667,17.138672,96.0150572,3.984942799
5/1/19,13.84592942,,70,111.83214,174,51,,3057.071022,97,0,0,5.399576389,54.31498209,,,4.541651944,45.68501791,15.16666667,100,4.05,1.1749675,11.11618083,9.941228333,40,11,9,0.809630586,11.3497,0.483316667,16.582031,89.43012954,10.56987046
5/2/19,5.410709263,,68,37.497476,150,66,,1593.009876,31,0.108330556,1.365595646,4.874869722,61.45173753,,,2.9496425,37.18266683,18.95,97,10.65,0.358323611,8.291160278,7.932842778,25,8,14,1.688545334,20.76606667,0.483333333,16.992188,95.67824846,4.32175154
5/3/19,12.30102552,,69,35.56511,171,67,,2706.316333,26,0.149995556,2.181901993,4.091555556,59.51758495,,,2.632981111,38.30051305,16.91666667,87,9.9,0.141663611,7.016185,6.874532222,43,7,7,0.997693191,7.88315,0.483316667,16.464844,97.98090569,2.019094314
5/4/19,6.286644308,,70,43.3901,148,68,,1913.751606,25,0.283325278,5.449009259,3.3165725,63.78546384,,,1.599676389,30.7655269,15.11666667,60,9.783333333,0.133329722,5.332902222,5.199574167,56,5,5,0.937575787,5.416516667,2.483266667,16.640625,97.4998664,2.500133605
5/5/19,,,,,,,,,,,,,,1,1.307965,,,,,,,,,,,,,,,,,
5/6/19,7.18525551,,68,76.29988,156,61,,2165.480896,61,0.158328889,1.765305575,5.677346111,63.30020257,,,3.1332475,34.93449185,8.95,100,-0.916666667,0.8860875,9.854992778,8.9689225,9,9,13,1.319128313,16.28286667,0.483333333,16.40625,91.00876103,8.991238974
5/7/19,5.53549385,,65,28.64326,156,78,,1993.825763,12,,,,,1,8.193945556,,,,,,,,,,,,,,,,,
5/8/19,13.27522238,,73,49.778815,160,61,,4980.881875,43,1.258299167,21.54168158,3.957947222,67.75879776,1,1.224689722,0.624983611,10.69952067,17.03333333,100,10.85,0.341657222,6.182877778,5.84123,20,2,5,0.808684917,10.41636667,0,16.699219,94.4741476,5.525852404
5/9/19,4.949667835,,68,69.25437,144,65,,1658.965773,56,1.074968889,24.95324034,2.674923333,62.09296428,,,0.558040833,12.95379538,16.43333333,62,11.83333333,0.299991111,4.607922222,4.307933056,36,2,7,1.519122863,15.88286667,1.983266667,16.464844,93.48966909,6.510330905
5/10/19,10.14564518,,71,66.42248,159,61,,3545.781735,59,2.366602778,28.25965419,4.166273611,49.74956196,,,1.841616667,21.99078385,17.35,91,8.15,0.824976389,9.199455556,8.374493056,52,5,14,1.52182919,29.26578333,0,16.757812,91.03234818,8.967651818
5/11/19,10.19568235,,75,,162,,,2391.172799,,,,,,1,3.674625833,,,,,,,,,,,,,,,,,
5/12/19,8.963863032,,70,47.075547,160,68,,2434.453377,36,1.233300833,20.19189261,3.816295556,62.48129245,,,1.058304722,17.32681494,16.81666667,73,10.1,0.616649167,6.724541389,6.107901111,44,4,10,1.48709026,22.83266667,0,17.25586,90.82988243,9.170117572
5/13/19,4.859701001,,61,99.703945,156,58,,1610.525332,94,1.399963611,15.55603995,5.591241111,62.12845061,1,2.982971389,2.008281111,22.31550944,18.33333333,100,8.85,0.474987778,9.474461944,8.999485833,42,5,8,0.844375126,17.36621667,0,16.40625,94.98665786,5.013342137
5/14/19,9.365251169,,68,110.50823,160,56,,2384.346198,98,2.849923333,26.49247337,6.599262222,61.3457831,,,1.3082975,12.16174353,18.3,100,4.433333333,3.094351944,13.87514861,10.75748306,27,3,18,1.297283402,36.69893333,0,16.875,77.66106841,22.33893159
5/15/19,8.004549699,,66,85.43394,152,64,,2446.910151,58,0.733314167,22.91769701,1.991471667,62.23791431,1,5.632896111,0.474986667,14.84438868,5.966666667,41,2.516666667,0.2499925,3.44976,3.1997725,12,1,6,1.739251426,14.89953333,0,17.636719,92.75334697,7.246653033
5/16/19,7.949687659,,71,69.57686,155,65,,2436.469988,58,1.666640833,22.90186205,4.927360278,67.7084847,,,0.683314722,9.389653244,19.95,100,11.91666667,0.766646111,8.04395,7.277315833,30,2,11,1.367487366,23.31601667,1.983266667,17.578125,90.46929714,9.53070286
5/17/19,9.677261542,,71,42.63872,165,64,,2586.512141,27,0.733313333,14.57033719,3.658234167,72.68612596,,,0.641371944,12.74353686,17.06666667,64,11.03333333,0.999971944,6.035658889,5.032919444,53,4,9,1.491137946,19.84943333,2.98325,16.933594,83.42466522,16.57533478
5/18/19,5.312939495,,65,68.057574,142,59,,1084.082638,49,1.524958889,24.76433216,3.349628333,54.39576716,,,1.283296944,20.83990068,15.88333333,66,9.233333333,0.4999875,6.657860833,6.157884167,47,3,12,1.80238072,29.79916667,0,16.31836,92.4902803,7.509719698
5/19/19,6.537252356,,68,,142,,,1402.46442,,,,,,,,,,,,,,,,,,,,,,,,
5/20/19,6.146982224,,66,57.577793,148,63,,2047.939789,40,1.633288056,22.55552861,4.474598056,61.79370755,,,1.133301111,15.65076384,19.4,79,11.28333333,0.874976111,8.116155,7.241187222,59,5,15,1.848165788,33.24903333,0,17.050781,89.21933831,10.78066169
5/21/19,10.33200956,,72,53.113244,153,61,,2869.940501,37,2.041611389,27.37533049,4.299604444,57.65205527,,,1.116635278,14.97261424,19.31666667,84,11.18333333,0.674981944,8.132822222,7.457851111,,5,13,1.598461105,31.28246667,2.98325,15.703125,91.70053117,8.29946883
5/25/19,8.663290041,,72,57.89518,159,65,,1977.54093,39,1.066637222,25.74097509,2.469058056,59.58535909,1,2.632983056,0.6080375,14.67366581,8.216666667,49,2.966666667,1.1170275,5.260753611,4.143732778,,2,9,1.710781509,19.37295,0,17.285156,78.76680478,21.23319522
5/27/19,11.57088943,,89,,163,,,1932.143144,,,,,,,,,,,,,,,,,,,,,,,,
5/28/19,6.970105248,,68,60.179297,161,61,,1795.139874,41,0.899974444,17.59051527,3.166303889,61.88722053,1,2.782978611,1.04997,20.5222642,11.73333333,51,6.533333333,0.091663611,5.207905556,5.116248333,,3,3,0.576047313,5.449816667,0,16.552734,98.23991626,1.760083736
5/29/19,10.12339757,,72,64.79437,168,61,,2467.570376,53,1.333295833,22.39954292,3.602400556,60.52079655,,,1.016638611,17.07966052,19.9,86,13.63333333,0.324990556,6.277316667,5.952335,,3,4,0.637214946,9.93305,0,16.464844,94.82278635,5.177213651
5/30/19,6.233636304,,72,,147,,,1137.891372,,,,,,1,2.282435278,,,,,,,,,,,,,,,,,
6/1/19,9.068997123,,72,55.787873,158,64,,1846.321179,46,1.216633333,20.53542573,3.94128,66.52444948,,,0.766645278,12.94012479,6.733333333,95,-0.333333333,1.136078333,7.060629167,5.924558611,13,3,12,1.699565254,23.79928333,2.98325,16.992188,83.90969055,16.09030945
6/2/19,5.205753744,,77,,139,,,524.6011942,,,,,,,,,,,,,,,,,,,,,,,,
6/3/19,7.898759688,,72,45.94966,159,70,,1946.806519,37,1.3082975,20.27638372,4.085720556,63.32171219,1,2.774646389,1.058303611,16.40190409,6.316666667,80,-0.516666667,0.391656389,6.843969167,6.452321667,,4,9,1.31502638,18.34948333,0,17.460938,94.27735762,5.722642383
6/4/19,14.25323796,,74,60.504142,172,64,,3389.550408,54,2.074941667,23.91242084,5.74956,66.26012701,1,1.4746825,0.852753056,9.827452148,10.18333333,100,0.45,1.058301944,9.735549722,8.677254722,,3,17,1.746177718,36.21556667,2.983233333,16.582031,89.1295179,10.8704821
6/5/19,7.133047477,,67,105.67765,148,60,,2122.445626,69,0,0,1.433293056,80.76381867,2,5.932613056,0.341379167,19.23618133,5.766666667,26,3.583333333,0.408321944,2.182991111,1.774672222,29,1,3,1.374261207,8.449766667,0,16.347656,81.2953259,18.7046741
6/6/19,10.97012377,,73,75.017475,171,60,,2756.387102,63,0.599983333,16.94250378,2.316324444,65.40904301,,,0.624983056,17.6484532,14.55,75,10.8,0.2083275,3.749613333,3.541290833,24,2,4,1.066776663,6.933133333,0,17.109375,94.44403453,5.555965474
6/7/19,5.173134931,,67,77.27783,165,63,,1954.250824,53,0.933305833,24.08774823,2.483260556,64.09062594,,,0.458041667,11.82162583,12.68333333,42,8.45,0.358322778,4.232928611,3.874608056,30,2,3,0.708729174,6.949783333,2.483266667,16.845703,91.53487756,8.465122438
6/8/19,,,,,,,,,,,,,,1,6.307910278,,,,,,,,,,,,,,,,,
