date,strain_score,skin_temperature,avg_heart_rate,heart_rate_variability,max_heart_rate,resting_heart_rate,blood_oxygenation,total_calories_burned,recovery_score,deep_sleep,deep_sleep_percent,light_sleep,light_sleep_percent,nap_count,nap_sleep,rem_sleep,rem_sleep_percent,sleep_end_time,sleep_score,sleep_start_time,time_awake,time_in_bed,total_sleep,sleep_consistency,sleep_cycles,sleep_disturbances,sleep_disturbances_/_hour,sleep_disturbances_duration,sleep_onset_latency,sleep_respiratory_rate,time_asleep_percent,time_awake_percent,day_of_week,nap,recovery_level_cat
2019-04-10,,,,,,,,,,0.0,0.0,2.508261111,64.32081038,,,1.391349444,35.67918962,21.98333333,47.0,17.95,0.124996389,4.024605556,3.899610556,,4.0,5.0,1.242357774,5.916483333,1.4833,16.289062,96.89419636,3.105803638,Wednesday,False,
2019-04-11,10.87524798,,70.0,48.079006,161.0,65.0,,2228.728489,47.0,0.216660556,2.121929162,7.3939575,72.41490729,,,2.599928056,25.46316355,20.95,100.0,10.41666667,0.319434722,10.52997611,10.21054611,,10.0,10.0,0.949669771,13.99958333,0.483316667,15.996094,96.96642637,3.033573634,Thursday,False,yellow
2019-04-12,,,,36.994576,,63.0,,,42.0,0.058331667,1.168678391,3.982945833,79.79855527,,,0.949973056,19.03276634,19.05,63.0,13.91666667,0.141662222,5.132910556,4.991250556,,5.0,4.0,0.779284961,7.933083333,0.483316667,16.40625,97.24012021,2.759879787,Friday,False,yellow
2019-04-13,9.0066214,,71.0,,164.0,,,2259.560229,,,,,,1.0,3.508032778,,,,,,,,,,,,,,,,,,Saturday,True,
2019-04-14,5.197121259,,66.0,50.49753,155.0,68.0,,1563.33652,39.0,0.0,0.0,4.594041111,60.43155131,1.0,2.241326944,3.008016111,39.56844869,6.05,100.0,-1.783333333,0.233327222,7.835382222,7.602057222,8.0,6.0,6.0,0.765757155,6.899816667,0.483316667,16.230469,97.02213435,2.977865654,Sunday,True,yellow
2019-04-15,8.880031176,,69.0,,165.0,,,2883.604207,,,,,,1.0,2.991304167,,,,,,,,,,,,,,,,,,Monday,True,
2019-04-16,5.484164115,,66.0,46.461362,164.0,64.0,,1924.952199,55.0,0.633317222,9.681964843,3.141576111,48.02747879,,,2.766312222,42.29055636,5.4,80.0,-1.45,0.3166575,6.857859722,6.541205556,26.0,6.0,5.0,0.729090445,6.916466667,0.483316667,16.875,95.38256309,4.617436911,Tuesday,False,yellow
2019-04-17,4.500944761,,63.0,,164.0,,,2226.338432,,0.733314167,7.272937101,6.2162175,61.65182802,,,3.133247222,31.07523488,21.16666667,100.0,10.53333333,0.549985278,10.63274889,10.08277889,32.0,10.0,15.0,1.410735846,21.74938333,0.483316667,16.757812,94.82744779,5.172552209,Wednesday,False,
2019-04-18,,,,56.401514,,61.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,Thursday,False,green
2019-04-24,12.15471057,,78.0,35.299685,158.0,68.0,,3075.047801,41.0,0.074997778,1.40194052,3.3662925,62.92642258,,,1.908278889,35.6716369,15.91666667,69.0,10.41666667,0.149995833,5.499561667,5.349569167,,5.0,3.0,0.54549802,2.949916667,0.483333333,15.8203125,97.27258732,2.727412683,Wednesday,False,yellow
