applicant,bla_nda_number,is_biologic,proprietary_name,proper_name,approval_type,ref_id,ref_proper_name,ref_proprietary_name,supplement_no,license_no,exclusivity_date,is_deleted,created_at,updated_at
Merck Sharp & Dohme Corp.,101062,True,Lactrodectus Mactans,Antivenin (Latrodectus mactans),new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Recordati Rare Diseases, Inc.",101063,True,Elspar,asparaginase,new,,,,,1899.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101066,True,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101068,True,ATTENUVAX,Measles Virus Vaccine Live,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101069,True,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101072,True,MumpsVax,Mumps Virus Vaccine Live,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101075,True,MERUVAX II,Rubella Virus Vaccine Live,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,101094,True,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wyeth Pharmaceuticals LLC,101099,True,Micrurus Fulvius,Antivenin (Micrurus fulvius),new,,,,0.0,3.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101130,True,"Koate, Koate-Dvi",Antihemophilic Factor (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101134,True,"Baygam, Gamastan S/D",Immune Globulin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101138,True,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101140,True,Plasmanate,Plasma Protein Fraction (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
